player_id,name,position,pro_team,projected_points
3050481,Tanner Hudson,TE,CIN,27.784499999999998
4360698,Joe Milton III,QB,DAL,27.6065
4383396,Hunter Luepke,RB,DAL,27.514000000000003
4573699,Jackson Hawes,TE,BUF,27.42
4431574,Eli Stowers,TE,PHI,27.33
2310331,Tyler Johnson,WR,DAL,27.24275
4685553,Brenen Thompson,WR,LAC,27.23
4259308,Raheem Blackshear,RB,DET,26.831500000000005
4361372,Jeremy Ruckert,TE,NYJ,26.797500000000003
4039057,Lil'Jordan Humphrey,WR,DEN,26.603999999999996
4241374,Grant Calcaterra,TE,PHI,26.554999999999993
2983509,Dare Ogunbowale,RB,LV,26.31350000000001
4362477,Derius Davis,WR,LAC,26.089999999999993
4573697,Mason Tipton,WR,NO,25.979499999999987
3924327,Drew Lock,QB,SEA,25.754750000000005
4427985,Bub Means,WR,NO,25.616500000000006
4569371,Isaiah Williams,WR,NYJ,25.519377380952385
3128720,Nick Chubb,RB,,25.400499999999994
3127586,Jeremy McNichols,RB,WSH,25.368000000000006
4426553,Davis Allen,TE,LAR,25.201499999999996
4431562,Phil Mafah,RB,DAL,25.0
3930066,Van Jefferson,WR,WSH,24.788750000000004
2576414,Raheem Mostert,RB,,24.462999999999987
4361112,Devin Culp,TE,TB,24.439699999999984
4360739,Simi Fehoko,WR,ARI,24.33549999999999
4428209,Ricky Pearsall,WR,SF,24.293499999999998
4430637,Ja'Lynn Polk,WR,NO,24.20699999999999
4685526,Adam Randall,RB,BAL,24.08
4241961,Connor Heyward,RB,LV,23.937499999999993
4242392,Brock Wright,TE,DET,23.889999999999993
4243003,Ronnie Rivers,RB,LAR,23.568499999999993
4372505,Payne Durham,TE,TB,23.466499999999996
4883647,Elic Ayomanor,WR,TEN,23.38
4241401,Trey Sermon,RB,ATL,22.602000000000004
4698191,Chris Collier,RB,LV,22.58833333333334
3047876,KhaDarel Hodge,WR,SF,22.3675
4035886,Khalil Herbert,RB,,22.073500000000003
4242540,Isaiah Hodgins,WR,NYG,21.95690000000003
4373030,Ben Sims,TE,MIA,21.823999999999995
4613202,Kyle Williams,WR,NE,21.78
4241802,Jalen Reagor,WR,MIA,21.733499999999978
2980453,Jamaal Williams,RB,,21.430000000000003
3051392,Ezekiel Elliott,RB,,21.220999999999993
4259305,Bo Melton,WR,GB,21.134500000000003
4429676,Tyler Goodson,RB,ATL,20.849999999999994
4430104,Sincere McCormick,RB,SF,20.800500000000007
4608810,Tez Johnson,WR,TB,20.49
4360967,Brevyn Spann-Ford,TE,DAL,20.359999999999985
4250360,Bailey Zappe,QB,NYJ,20.284000000000002
3917668,Alec Ingold,RB,LAC,20.082500000000003
4708486,Jimmy Horn Jr.,WR,CAR,20.0
3059989,Nick Mullens,QB,JAX,19.96725
4040612,Luke Farrell,TE,SF,19.808999999999997
3116593,Dalvin Cook,RB,,19.77105833333332
4039160,Kylen Granson,TE,TEN,19.493999999999986
4685555,Nicholas Singleton,RB,TEN,19.37
4035671,Tyler Huntley,QB,BAL,19.073500000000003
4039358,Patrick Taylor Jr.,RB,SF,19.057000000000006
4240911,Jacob Kibodi,RB,,18.90233333333332
9614,Marcedes Lewis,TE,,18.603932440476193
4686248,Nate Boerkircher,TE,JAX,18.12
4426386,Roschon Johnson,RB,CHI,17.91749999999999
4430870,KeAndre Lambert-Smith,WR,LAC,17.75
4374033,Jermar Jefferson,RB,MIN,17.675899999999977
4702559,Oscar Delp,TE,NO,17.63
4429299,Tahj Brooks,RB,CIN,17.56
5082630,Jalen Royals,WR,KC,17.55
4714365,Carson Steele,RB,PHI,17.484000000000012
4057082,Mason Kinsey,WR,TEN,17.34168571428571
16760,Jimmy Garoppolo,QB,LAR,16.765
4599739,Kendre Miller,RB,NO,16.412000000000003
4250764,Stone Smartt,TE,PHI,16.388999999999996
4362748,Tyler Badie,RB,DEN,16.30650000000001
3051889,Laquon Treadwell,WR,IND,16.27
4045163,Miles Sanders,RB,,16.09649999999999
4044144,Kenny Yeboah,TE,ARI,15.99750000000001
3052056,River Cracraft,WR,WSH,15.984499999999995
3122168,Trent Sherfield,WR,BUF,15.947999999999997
3892775,Jarrett Stidham,QB,DEN,15.941999999999993
2573079,Carson Wentz,QB,MIN,15.88650000000001
4249836,Pierre Strong Jr.,RB,GB,15.776499999999997
4432775,Dont'e Thornton Jr.,WR,LV,15.77
4365395,Julian Hill,TE,NE,15.706499999999995
4367567,Julius Chestnut,RB,TEN,15.663500000000006
4565859,Joe Royer,TE,CLE,15.55
4372758,Kevin Austin Jr.,WR,NO,15.19250000000001
4035656,Ben Skowronek,WR,PIT,15.180000000000007
4239944,Hunter Long,TE,JAX,15.162000000000004
4434153,Tyson Bagent,QB,CHI,15.082000000000003
3929637,Dan Chisena,WR,CAR,15.065000000000008
4832846,Demond Claiborne,RB,MIN,14.9
4362018,Blake Whiteheart,TE,CLE,14.896000000000004
4685246,Kaytron Allen,RB,WSH,14.74
2975863,Eric Saubert,TE,SEA,14.652999999999999
4686468,Seth McGowan,RB,IND,14.6
3916566,K.J. Osborn,WR,TEN,14.555500000000004
4361777,Zamir White,RB,SF,14.527000000000005
16733,Odell Beckham Jr.,WR,NYG,14.4745
4044111,Chris Oladokun,QB,KC,14.462499999999986
4362630,Terrace Marshall Jr.,WR,MIA,14.356000000000009
2515270,Michael Burton,RB,CLE,14.159499999999998
